name,challenge,code,zone,latitude,longitude,points
Crocodile Rock Ancient Viharaya,"Sing the Crocodile Rock chorus by Elton John! 

Well Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time and I guess I never will
Oh Lawdy mama those Friday nights
When Suzie wore her dresses tight
And the Crocodile Rocking was out of sight
La lalalala la lalalala la lalalala la",3032,Kaliya - Zone 3,6.80982400,81.82412000,6
Dome houses,"The dome-shaped houses in Pottuvil, which were built as a settlement for those affected by the tsunami, are proving to be a solution to the hot and dry climate in Ampara as well as promising to be tsunami resistant.",3033,Kaliya - Zone 3,6.88054400,81.82709000,4
Lobster Man,Find Lobster man and get invited to his house to eat Lobster! 3 points.,3034,Kaliya - Zone 3,6.82758000,81.82926000,3
Urani Eco Centre,Visit the Urani Eco Centre and go on a Lagoon Safari with the local villagers.,3035,Kaliya - Zone 3,6.91963200,81.83658000,3
Muhudu Maha Vihara,"Although there are only remnants of the Muhudu Maha Viharaya today, it was in its past a place of legend. It is said that this was where Princess Devi landed after having been cast out to sea. Later she would marry King Kavantissa.",3036,Kaliya - Zone 3,6.86785300,81.83892000,2
Muhudu Maha Viharaya,"Built nearly 2000 years ago to celebrate the landing of Queen Vihara Maha Devi, the wife of King Kawantissa, the ruler of Rohana and the mother of King Dutugamunu, and the hero of Mahavansa Chronicle, Muhudu Maha Viharaya, the Temple by the Sea, is just a stones throw away from the town of Pothuvil.Ã‚Â <br>Although the archeological evidence holds the temple to have been built in the fifth century AD by King Mahanama, the legend holds that the temple, also known as the Samudra Maha Vihara, is to be the placed where the storm tossed Princess Devi within the Ruhuna Kingdom. According to a stone inscription that was found in the vicinity of the shrine, it had also been called the Ruhunu Maha Viharaya in the days gone by.",3037,Kaliya - Zone 3,6.86785300,81.83892000,2
Tuktuk Power Up Point!,"For centuries this point has been the place where heroes of Ceylon came to power up their tuktuk (the real one) and their tuktuk idol.

Drive to the end, park your tuktuk, place your idol tuktuk on the rood and make the most amazing photo you have ever made!",3038,Kaliya - Zone 3,5.97429780,80.73414804,5
Sittamgallena Raja Maha Viharaya,Visit this anciet cave temple,3039,Kaliya - Zone 3,6.22019070,80.63301900,5
Kaliya's Birth Tree,"Under the ancient canopy of Kaliya's Birth Tree, legends whisper of a unique leaf, a symbol of Kaliya's essence. Embark on a quest to find this leaf, a testament to Kaliya's legacy. Once found, capture a moment with the leaf, letting the majestic tree stand tall in the backdrop.",3039,Kaliya - Zone 3,6.02661900,80.79496340,5
Rock Outcrop,"According to folklore, the Rock Outcrop is said to be guarded by Kaliya, a mythical serpent known for its fierce nature. Stories tell of how it once terrorized nearby villages, poisoning rivers and frightening the locals. To protect the land, brave heroes of legend confronted Kaliya, ultimately subduing the creature and transforming it into a guardian spirit of the region.

Now it's your job to confront Kaliya. Hike the rock and let Kaliya know how strong you are. Strike a pose where you show your muscles.",3040,Kaliya - Zone 3,6.09293390,80.98940900,2
Sapugaharoda Ella Falls,"Sapugaharoda Ella Falls is one of the few waterfalls in the Hambantota district of Sri Lanka. But it is 25 high and receives many visitors both local and foreign due to a hotel being near and a ledge having been made across the pool at the bottom of the falls, allowing easier bathing.",3041,Kaliya - Zone 3,6.24156530,80.64575300,3
Wewrukannala Buduraja Mahaviharaya,"15 miles east of Matara is the town of Dikwella, where there is one of the most amazing Buddhist temples in Sri Lanka. The Wewurukannala Vihara temple is dominated by an image of a seated Buddha. It is 160ft high, the largest statue in all of Sri Lanka and dates back to the time of King Rajadhi (1782 – 1798).

The temple has three parts, the oldest being about 250 years old; however this is of no particular interest. The next part has life size models of demons and sinners shown in graphic detail. If you don’t follow the path to enlightenment this is what happens to you. Punishments include being drowned in boiling cauldrons, sawn in half, disemboweled and so on. Finally there is the enormous seated Buddha that is as high as an eight-storied building.",3042,Kaliya - Zone 3,5.97680610,80.69909000,1
Skatepark,Try to ride a skateboard on the ramp and take a video.,3043,Kaliya - Zone 3,5.96310200,80.69962300,3
Swim,Go for a swim in Hiriketiya!,3044,Kaliya - Zone 3,5.96246558,80.70691083,5
Mulgirigala Raja Maha Viharaya,"Climb to the top! Popular ancient Buddhist cave temple built on a massive rock. Due to its resemblences with Sigiriya, some people refer to this temple site as 'Little Sigiriya'. The Mulkirigala caves have a mixture of religious and secular(non-religious) paintings and sculptures with several reclining Buddhas, including 15 metre long sculptures of the dying Buddha. It's a climb of 500 steps to reach the temple",3045,Kaliya - Zone 3,6.12246780,80.73821800,5
Hummanaya Blow Hole,"Take a photo of the blow hole, when it blows!",3046,Kaliya - Zone 3,5.97759670,80.73862500,3
Panamure Ath Gala (Panamure Elephant Kraal),Visit Sri Lanka's last Elephant Kraal.,3047,Kaliya - Zone 3,6.35573920,80.76033000,3
Local Park,Make a local friend at the park. Share the picture (and the story).,3048,Kaliya - Zone 3,6.17964600,80.76408200,4
Walalgoda Tempita Viharaya,"Walalgoda Purana Tampita Viharaya is one of the few Tampita Temples surviving today. The unique feature of the Tampita Viharaya is that the image house is built above the ground level. Some temple have been built on top of stone columns and some on wooden columns.

In addition to being a Tampita Viharaya this temple is well known for its Kandyan Era murals which cover the walls. Though this temple has been in existence since ancient times the current temple has been built in the 16th century during the Kandyan Kingdom, specifically 37th year of the Sri Wickrama Rajasinhe’s rule.  According to a document in the temple, it has been built for a Upali Thero from Thailand by Alahakoon Muniyanse and Wijayakoon Mudiyanse who has also donated a large amount of land to the temple for its maintenance.",3049,Kaliya - Zone 3,6.33427520,80.76751200,1
Beach Break,Take a break and have a swim!,3050,Kaliya - Zone 3,6.00475380,80.76818500,2
Ranchamadama Historical Settlement,Find the canoes.,3051,Kaliya - Zone 3,6.37058930,80.78291300,3
Island Temple,Go on a photo with a rondom stranger and make it look like he is your favourite famous actor/athlete .,3052,Kaliya - Zone 3,6.01788840,80.79201700,3
Turtle Nest,Release some turtles into the sea!,3053,Kaliya - Zone 3,6.04642460,80.85407300,4
Turtle Watch Rekawa,"Visit turtle watch Rekawa. Best time to visit Between 7 pm & 3 am when Sea Turtles come ashore to nest.
 Entrance fee:Rs.500",3054,Kaliya - Zone 3,6.04630840,80.85571600,3
Turtle Point,Take a photo on the rocks at turtle point.,3055,Kaliya - Zone 3,6.04435900,80.86084500,2
Rice Farmers,Get a photo with a rice farmer in the fields (don't cut yourself).,3056,Kaliya - Zone 3,6.10457000,80.87595400,3
Agro Technology Park,"Agro Technology Park in Bata Atha (Bata Atha Farm) is located in the Hungama Batatha area in the Hambantota District in the Southern Province, this is another wonderful creation that has attracted local and foreign tourists. It is a kind of farm owned by the Department of Agriculture. But this is an open place for tourists from outside. ",3057,Kaliya - Zone 3,6.10250990,80.90563300,3
Kalametiya Eco Bird Watching,"Kalametiya Bird sanctuary is a one of oldest and main sanctuary in Srilanka. Kalametiya bird sanctuary records over 150 species of birds which 54 are migratory. The bird sanctuary is situated in Hambantota district, 20 Km away from the Tangalle city and in the picturesque Kalametiya lagoon.",3058,Kaliya - Zone 3,6.07974600,80.93010200,3
